Día,Fecha,Bloque,Hora inicio,Hora fin,Duración min,Macrobloque,Bloque / Actividad,Formato,Ponentes sugeridos,Empresa,STATUS DE CARTA,STATUS DE CONFIRMACION
Sábado,18/07/2026,"Planificación, implementación y regulación",5:25 pm,5:50 pm,25 min,Construcción 4.0,"Robótica, industrialización y construcción 4.0",Ponencia / demo,,,Por confirmar sponsors,
Sábado,18/07/2026,"Startups, infraestructura y cierre",5:50 pm,6:30 pm,40 min,Futuro LATAM,Panel 2: Futuro de la IA en construcción LATAM,Panel,3 panelistas + moderador,,Por confirmar sponsors,
Sábado,18/07/2026,"Startups, infraestructura y cierre",6:30 pm,6:45 pm,15 min,Continuidad,Comunidad AECODE: continuidad post Summit,Presentación AECODE,1-2 AECODE,,Por confirmar sponsors,
Sábado,18/07/2026,,6:45 pm,7:00 pm,15 min,Clausura,Clausura + agradecimientos + foto final,Cierre,Comité Organizador AECODE Eduardo Torres Llosa,,Por confirmar sponsors,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Empresas confirmadas,,,,,,
,,,,,,BILDIN - SILVER con PONENCIA,,,,,,
,,,,,,TELEMÁTICA - GOLD,,,,,,
,,,,,,BETON DECKEN - DIAMANTE,,,,,,
,,,,,,HANNAH - DIAMANTE,,,,,,
,,,,,,REVIZTO - SILVER,,,,,,
,,,,,,AF ROBOTIC - SILVER,,,,,,
,,,,,,ITS - ALIADO ESTRATÉGICO,,,,,,
