"specialty","id","name","mimeType","size","modifiedTime","link"
"Georreferenciacion Topografia Diseno Geometrico","1Sqmls23n7Vvp8jRSXJMRnA9z4GhJVVI3","respuesta observaciones .pdf","application/pdf","1662163","2026-03-25T17:33:02.887Z","https://drive.google.com/file/d/1Sqmls23n7Vvp8jRSXJMRnA9z4GhJVVI3/view?usp=drivesdk"
"Georreferenciacion Topografia Diseno Geometrico","1Tx2Nj3OYRYBuCX8OX6MLW37xZ7w0WHs3","3.00 DISEÑO GEOMETRICO.","application/vnd.google-apps.folder",,"2026-03-25T17:30:10.917Z","https://drive.google.com/drive/folders/1Tx2Nj3OYRYBuCX8OX6MLW37xZ7w0WHs3"
"Georreferenciacion Topografia Diseno Geometrico","1mzzVfYQRxQKXh95_fea1hpzFSQUIFLiz","2.00 TOPOGRAFIA.","application/vnd.google-apps.folder",,"2026-03-25T17:21:40.013Z","https://drive.google.com/drive/folders/1mzzVfYQRxQKXh95_fea1hpzFSQUIFLiz"
"Georreferenciacion Topografia Diseno Geometrico","195ZzEjSVwP3tGo4CQNxam9H1RYKouZZh","1.00 GEOREFERENCIACION.","application/vnd.google-apps.folder",,"2026-03-25T17:06:48.792Z","https://drive.google.com/drive/folders/195ZzEjSVwP3tGo4CQNxam9H1RYKouZZh"
