"path","name","id","kind","mimeType","size","modifiedTime","webViewLink","extension"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-49","P-49-Vista3D.fbx","12I0s1iOK17uFULNCbRRggGz0_kEMfYYZ","file","application/octet-stream","211920","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/12I0s1iOK17uFULNCbRRggGz0_kEMfYYZ/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-49","P-49.rfa","1duJkDzxNodsCGgaWyHNlDRyT1juQToRR","file","application/octet-stream","1396736","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1duJkDzxNodsCGgaWyHNlDRyT1juQToRR/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-4A","1co9bS0bW0uzAq7NsalEUE_SuvWU0Trr8","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:36.995Z","https://drive.google.com/drive/folders/1co9bS0bW0uzAq7NsalEUE_SuvWU0Trr8",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-4A","P-4A-Vista3D.fbx","1gdzybC6r6zTKNyF_G-lbUymSCE-y0zj3","file","application/octet-stream","190320","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1gdzybC6r6zTKNyF_G-lbUymSCE-y0zj3/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-4A","P-4A.rfa","1570AV2fLuTTA3b9S4S2QNiR8_Ht9pimg","file","application/octet-stream","1253376","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1570AV2fLuTTA3b9S4S2QNiR8_Ht9pimg/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-4B","1HEnI_CwUvC0VWNgRtAGZ9QZ0C6A0HmY5","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.014Z","https://drive.google.com/drive/folders/1HEnI_CwUvC0VWNgRtAGZ9QZ0C6A0HmY5",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-4B","P-4B-Vista3D.fbx","12C7d-UFTh6DqcKCSj3MCgvRZ8OJbJlja","file","application/octet-stream","190032","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/12C7d-UFTh6DqcKCSj3MCgvRZ8OJbJlja/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-4B","P-4B.rfa","1oIhPn2atsVta4Rx54_7DRw0PkxuAxuoh","file","application/octet-stream","1253376","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1oIhPn2atsVta4Rx54_7DRw0PkxuAxuoh/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-5-1","1UCSqa_i4lFJV6CpxfDka5qn1dqBbIfzf","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.593Z","https://drive.google.com/drive/folders/1UCSqa_i4lFJV6CpxfDka5qn1dqBbIfzf",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-5-1","P-5-1-Vista3D.fbx","17kSEzK3g-IvUMcwqfym0U7O_oAJzDZCx","file","application/octet-stream","196528","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/17kSEzK3g-IvUMcwqfym0U7O_oAJzDZCx/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-5-1","P-5-1.rfa","1kpKXEHINVx0FznTROjk9aDmacqKVygYu","file","application/octet-stream","1282048","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1kpKXEHINVx0FznTROjk9aDmacqKVygYu/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-5-1A","1WqXwQH8ZtWAzfBkyu6fY-yxfeqZH4O3h","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.595Z","https://drive.google.com/drive/folders/1WqXwQH8ZtWAzfBkyu6fY-yxfeqZH4O3h",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-5-1A","P-5-1A-Vista3D.fbx","1PxlWDQjNqLWD6dUxaE2mJHaVQQQYl1Do","file","application/octet-stream","197088","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1PxlWDQjNqLWD6dUxaE2mJHaVQQQYl1Do/view?usp=drivesdk","fbx"
