"path","name","id","kind","extension","size","mimeType","webViewLink"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./3.0 AMC-0.80X0.80  DISEÑO ESTRUCTURAL OK.","AMC-0.80X0.80.$2k","1g3c9sBCmKJa60siuor6o_Lkp1BJl-OAl","file","$2k","48238","application/octet-stream","https://drive.google.com/file/d/1g3c9sBCmKJa60siuor6o_Lkp1BJl-OAl/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./3.0 AMC-0.80X0.80  DISEÑO ESTRUCTURAL OK.","AMC-0.80X0.80.ico","1RxfsbdMV69YmwkIV1xxN90PmeALrfjOa","file","ico","1113","image/png","https://drive.google.com/file/d/1RxfsbdMV69YmwkIV1xxN90PmeALrfjOa/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./3.0 AMC-0.80X0.80  DISEÑO ESTRUCTURAL OK.","AMC-0.80X0.80.sbk","1BvntHKNoJV5BAK18RolCaeDmKko-0TL-","file","sbk","13444","application/octet-stream","https://drive.google.com/file/d/1BvntHKNoJV5BAK18RolCaeDmKko-0TL-/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./3.0 AMC-0.80X0.80  DISEÑO ESTRUCTURAL OK.","AMC-0.80X0.80.sdb","1gNwDgv-gmPLSSAkPZo8FFJzOKOYdKWu7","file","sdb","14145","application/octet-stream","https://drive.google.com/file/d/1gNwDgv-gmPLSSAkPZo8FFJzOKOYdKWu7/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA.","4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","1dC0ry9fB1IjkD3ZlgBCFwANktwWrB1q9","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1dC0ry9fB1IjkD3ZlgBCFwANktwWrB1q9"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.$2k","1bh9_MoTvL4ikkjq2IgOq_dG5zWv5B8RV","file","$2k","46799","application/octet-stream","https://drive.google.com/file/d/1bh9_MoTvL4ikkjq2IgOq_dG5zWv5B8RV/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.ico","1eUxxOl9p_5oxd1SB43EZsWpz52I2CNIr","file","ico","2824","image/png","https://drive.google.com/file/d/1eUxxOl9p_5oxd1SB43EZsWpz52I2CNIr/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.K_0","1xIqcgUQAIkpPZoKSl7XUhh4hddu4g-xh","file","K_0","14221","application/octet-stream","https://drive.google.com/file/d/1xIqcgUQAIkpPZoKSl7XUhh4hddu4g-xh/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.K_I","1huhjzKSGKB4zu_4ImMQ1_C4iKf-Z3bUb","file","K_I","312","application/octet-stream","https://drive.google.com/file/d/1huhjzKSGKB4zu_4ImMQ1_C4iKf-Z3bUb/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.K_J","1HoMC4421fmYBFCVcK-JIdgUquQPplEXm","file","K_J","768","application/octet-stream","https://drive.google.com/file/d/1HoMC4421fmYBFCVcK-JIdgUquQPplEXm/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.K_M","1FedBAgUgDmvQz8n5DIYhZ-g6Xe8y4pBd","file","K_M","624","application/octet-stream","https://drive.google.com/file/d/1FedBAgUgDmvQz8n5DIYhZ-g6Xe8y4pBd/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.LOG","117R_PPiyJwGuw6JIHzU6zAjLhUcnGGXP","file","LOG","5422","text/plain","https://drive.google.com/file/d/117R_PPiyJwGuw6JIHzU6zAjLhUcnGGXP/view?usp=drivesdk"
