"path","name","id","kind","mimeType","size","modifiedTime","webViewLink","extension"
"COMPATIBILIDAD","1.00 CANTERA ESMERALDA","19I0np_2y0gjiT8NIdlXYW27k__nzalCG","folder","application/vnd.google-apps.folder",,"2026-04-16T13:22:29.467Z","https://drive.google.com/drive/folders/19I0np_2y0gjiT8NIdlXYW27k__nzalCG",
"COMPATIBILIDAD","2.00 PATIO DE MAQUINA","1WsOQRslD5JaVIylwPdm3ql6uLJRfEEOJ","folder","application/vnd.google-apps.folder",,"2026-04-16T13:22:29.477Z","https://drive.google.com/drive/folders/1WsOQRslD5JaVIylwPdm3ql6uLJRfEEOJ",
"COMPATIBILIDAD/2.00 PATIO DE MAQUINA","CADPATIO DE MAQUINA-Model.dwg","1ivYVdDWkkzIoftCfbNX2bJrm91gSUZPy","file","image/vnd.dwg","23181569","2026-03-05T14:30:27.000Z","https://drive.google.com/file/d/1ivYVdDWkkzIoftCfbNX2bJrm91gSUZPy/view?usp=drivesdk","dwg"
"COMPATIBILIDAD","3.00 PLANTA DE CONCRETO","1PwdhtOblXdP1kZGn_XmqPW3zdjUNxMoT","folder","application/vnd.google-apps.folder",,"2026-04-16T13:22:29.477Z","https://drive.google.com/drive/folders/1PwdhtOblXdP1kZGn_XmqPW3zdjUNxMoT",
"COMPATIBILIDAD","4.00 PLANTA DE ASFALTO","1GSmAgesoFhM9mn9DPPDwqnILHCaCgRUD","folder","application/vnd.google-apps.folder",,"2026-04-16T13:22:29.473Z","https://drive.google.com/drive/folders/1GSmAgesoFhM9mn9DPPDwqnILHCaCgRUD",
"COMPATIBILIDAD","5.00 DME","1hcaAuTQ6hsH5FGfH3ywEWTJX6HAGjrul","folder","application/vnd.google-apps.folder",,"2026-04-16T13:22:29.470Z","https://drive.google.com/drive/folders/1hcaAuTQ6hsH5FGfH3ywEWTJX6HAGjrul",
"COMPATIBILIDAD","INFORME DE COMPATIBILIDAD.docx","1BjsVsioQj6VOZUnDREO1fb6eEF79rfVB","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2845201","2026-04-16T13:22:02.000Z","https://docs.google.com/document/d/1BjsVsioQj6VOZUnDREO1fb6eEF79rfVB/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true","docx"
