"specialty","id","name","mimeType","size","modifiedTime","link"
"Suelos Canteras Fuentes Agua Pavimentos","1DoxVbnAHLGp6pEHCHSsM4AcqpS2DMG8h","RESPUESTA A LAS OBSERVACIONES DEL INFORME FINAL 1..docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1750078","2026-03-25T20:16:57.598Z","https://docs.google.com/document/d/1DoxVbnAHLGp6pEHCHSsM4AcqpS2DMG8h/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Suelos Canteras Fuentes Agua Pavimentos","1p6ZAIZAUbKqGIOBaTAectWiSPdXO01_V","3. ESTUDIO DE DISEÑO DE PAVIMENTOS.","application/vnd.google-apps.folder",,"2026-03-25T20:16:51.459Z","https://drive.google.com/drive/folders/1p6ZAIZAUbKqGIOBaTAectWiSPdXO01_V"
"Suelos Canteras Fuentes Agua Pavimentos","1LizYpj1xHLCSfYk9kdg66dbAdH4RmnYU","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS.","application/vnd.google-apps.folder",,"2026-03-25T20:16:45.354Z","https://drive.google.com/drive/folders/1LizYpj1xHLCSfYk9kdg66dbAdH4RmnYU"
"Suelos Canteras Fuentes Agua Pavimentos","1KBWz3T8zfOmmcnHWPugOLnijt7cff5HD","1. ESTUDIO DE SUELOS.","application/vnd.google-apps.folder",,"2026-03-25T20:16:39.258Z","https://drive.google.com/drive/folders/1KBWz3T8zfOmmcnHWPugOLnijt7cff5HD"
