"specialty","path","id","name","mimeType","size","modifiedTime","link"
"GTDG","2.00 TOPOGRAFIA./3.00 INFORME DE ANALISIS DE TRAZO.","15q82FAJjqV-aMRhwI4CMUeiqWYaJkACC","3.00 INFORME DE ANALISIS DE TRAZO.","application/vnd.google-apps.folder",,"2026-03-25T17:22:25.353Z","https://drive.google.com/drive/folders/15q82FAJjqV-aMRhwI4CMUeiqWYaJkACC"
"GTDG","2.00 TOPOGRAFIA./3.00 INFORME DE ANALISIS DE TRAZO./INFORME DE ANALISIS DE  TRAZO.docx","181n-ypZp5CesRTbF10VMcHnksM2wPhmN","INFORME DE ANALISIS DE  TRAZO.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","42221","2026-03-25T17:22:36.547Z","https://docs.google.com/document/d/181n-ypZp5CesRTbF10VMcHnksM2wPhmN/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","2.00 TOPOGRAFIA./2.00 INFORME DE ACCIDENTABILIDAD.","1W_9OmcNTO9u6SjMXOQ5YsL2Nd6KoySHJ","2.00 INFORME DE ACCIDENTABILIDAD.","application/vnd.google-apps.folder",,"2026-03-25T17:21:55.758Z","https://drive.google.com/drive/folders/1W_9OmcNTO9u6SjMXOQ5YsL2Nd6KoySHJ"
"GTDG","2.00 TOPOGRAFIA./2.00 INFORME DE ACCIDENTABILIDAD./INFORME DE ACCIDENTABILIDAD.docx","1L8-eTJ0NfDg2HXgn8EZztYdz2WBBa1wC","INFORME DE ACCIDENTABILIDAD.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","11604133","2026-03-25T17:22:15.886Z","https://docs.google.com/document/d/1L8-eTJ0NfDg2HXgn8EZztYdz2WBBa1wC/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","1.00 GEOREFERENCIACION.","195ZzEjSVwP3tGo4CQNxam9H1RYKouZZh","1.00 GEOREFERENCIACION.","application/vnd.google-apps.folder",,"2026-03-25T17:06:48.792Z","https://drive.google.com/drive/folders/195ZzEjSVwP3tGo4CQNxam9H1RYKouZZh"
"GTDG","1.00 GEOREFERENCIACION./SEPARADORES..docx","1iRBSuWUGq9BTweJZRES5R6-GYV9Ns8yA","SEPARADORES..docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","63819","2026-03-25T17:21:23.535Z","https://docs.google.com/document/d/1iRBSuWUGq9BTweJZRES5R6-GYV9Ns8yA/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","1.00 GEOREFERENCIACION./INFORME DE GEORREFERENCIACIÓN..docx","1aVBe0pcf_v977jYMd-VxcsiLL6r6AsQ6","INFORME DE GEORREFERENCIACIÓN..docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","18899346","2026-03-25T17:21:14.845Z","https://docs.google.com/document/d/1aVBe0pcf_v977jYMd-VxcsiLL6r6AsQ6/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"GTDG","1.00 GEOREFERENCIACION./BASE DE  DATOS","19s8zvtzQdgx3OGwdaxU1VJO3gdyOm9AU","BASE DE  DATOS","application/vnd.google-apps.folder",,"2026-03-25T17:09:53.819Z","https://drive.google.com/drive/folders/19s8zvtzQdgx3OGwdaxU1VJO3gdyOm9AU"
"GTDG","1.00 GEOREFERENCIACION./BASE DE  DATOS/4 EFEMÉRIDES.","1ZJLZ9K626NebuNJysKES8XJJ0uBgFXS3","4 EFEMÉRIDES.","application/vnd.google-apps.folder",,"2026-03-25T17:19:44.758Z","https://drive.google.com/drive/folders/1ZJLZ9K626NebuNJysKES8XJJ0uBgFXS3"
"GTDG","1.00 GEOREFERENCIACION./BASE DE  DATOS/3 PROYECTO TBC.","1NTBL19T-_9gUmJIPsEODtiYFOZu-i-vC","3 PROYECTO TBC.","application/vnd.google-apps.folder",,"2026-03-25T17:17:30.763Z","https://drive.google.com/drive/folders/1NTBL19T-_9gUmJIPsEODtiYFOZu-i-vC"
