"specialty","id","name","mimeType","size","modifiedTime","link"
"Hidrologia Hidraulica Drenaje","1V5-a43W_dgMkrvilpyQvBLsVc4qAWduA","2.0 INFORME.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","58520366","2026-04-21T23:52:34.365Z","https://docs.google.com/document/d/1V5-a43W_dgMkrvilpyQvBLsVc4qAWduA/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"Hidrologia Hidraulica Drenaje","1K6yGIy052UFf-XkI6NAlK22_U-Agv3Ng","2.0 INFORME.pdf","application/pdf","8258919","2026-04-21T23:51:32.000Z","https://drive.google.com/file/d/1K6yGIy052UFf-XkI6NAlK22_U-Agv3Ng/view?usp=drivesdk"
"Hidrologia Hidraulica Drenaje","1NOM2XyXWvyIgEL4vdI4aQB5WoyyNl5eb","ANEXOS.","application/vnd.google-apps.folder",,"2026-03-25T17:57:20.522Z","https://drive.google.com/drive/folders/1NOM2XyXWvyIgEL4vdI4aQB5WoyyNl5eb"
