"specialty","path","id","name","mimeType","size","modifiedTime","link"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./10. Documentos de Propietarios.","17u15qFo6r-R4qKIxiOvE4GZuHsLa7fbK","10. Documentos de Propietarios.","application/vnd.google-apps.folder",,"2026-03-25T20:22:39.189Z","https://drive.google.com/drive/folders/17u15qFo6r-R4qKIxiOvE4GZuHsLa7fbK"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./9. Certificado de Ensayos de Canteras con Aditivos.","14VRiFqXYcWPl0tq06FY9EUN4DayMy0iA","9. Certificado de Ensayos de Canteras con Aditivos.","application/vnd.google-apps.folder",,"2026-03-25T20:22:32.666Z","https://drive.google.com/drive/folders/14VRiFqXYcWPl0tq06FY9EUN4DayMy0iA"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./8. Certificado de Ensayos de Fuentes de Agua.","16z6uoc_eHLNluNapRjMpisa-ObqI-PKv","8. Certificado de Ensayos de Fuentes de Agua.","application/vnd.google-apps.folder",,"2026-03-25T20:22:24.797Z","https://drive.google.com/drive/folders/16z6uoc_eHLNluNapRjMpisa-ObqI-PKv"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./7. Certificado de Ensayos de Canteras para Concreto y Asfalto.","17wleO8QbgIbMGNvmUU9Emr__tW8rTHod","7. Certificado de Ensayos de Canteras para Concreto y Asfalto.","application/vnd.google-apps.folder",,"2026-03-25T20:22:19.627Z","https://drive.google.com/drive/folders/17wleO8QbgIbMGNvmUU9Emr__tW8rTHod"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./6. Certificado de Ensayos de Canteras para Capa de Rodadura.","1SO6YGsYJIN3JDHSQJISFDmhMxp4ml130","6. Certificado de Ensayos de Canteras para Capa de Rodadura.","application/vnd.google-apps.folder",,"2026-03-25T20:22:13.227Z","https://drive.google.com/drive/folders/1SO6YGsYJIN3JDHSQJISFDmhMxp4ml130"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./5. Plano de Canteras.","1O55fV3O_xIBYn2Rn7W2xFwPizcCcltQc","5. Plano de Canteras.","application/vnd.google-apps.folder",,"2026-03-25T20:22:05.709Z","https://drive.google.com/drive/folders/1O55fV3O_xIBYn2Rn7W2xFwPizcCcltQc"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./4. Registro de Exploración de Canteras.","1llCfHGAfgT7PPuJSxFsQEXPN36dGU1wL","4. Registro de Exploración de Canteras.","application/vnd.google-apps.folder",,"2026-03-25T20:21:58.632Z","https://drive.google.com/drive/folders/1llCfHGAfgT7PPuJSxFsQEXPN36dGU1wL"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./3. Panel Fotográfico de Fuentes de Agua.","1v1BWA6cePAbrJE5w1BVUx_-ohsSV0Ev-","3. Panel Fotográfico de Fuentes de Agua.","application/vnd.google-apps.folder",,"2026-03-25T20:21:51.270Z","https://drive.google.com/drive/folders/1v1BWA6cePAbrJE5w1BVUx_-ohsSV0Ev-"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./2. Panel Fotográfico de Canteras.","1kvhD_iUQZ3Cm6V0YexYgx6JF8YFt4xiK","2. Panel Fotográfico de Canteras.","application/vnd.google-apps.folder",,"2026-03-25T20:21:43.606Z","https://drive.google.com/drive/folders/1kvhD_iUQZ3Cm6V0YexYgx6JF8YFt4xiK"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./2. Anexos./1. Diagrama de Canteras.","19k2EqNuhUXSq0JincRlAIIeACwC52TX2","1. Diagrama de Canteras.","application/vnd.google-apps.folder",,"2026-03-25T20:21:38.677Z","https://drive.google.com/drive/folders/19k2EqNuhUXSq0JincRlAIIeACwC52TX2"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./RESUMEN DE ENSAYOS DE CANTERA VICTORIA..pdf","1HfqAgjNLtRUThpt6Ui0kGxrF3qiSo-kq","RESUMEN DE ENSAYOS DE CANTERA VICTORIA..pdf","application/pdf","213762","2026-03-25T20:21:13.012Z","https://drive.google.com/file/d/1HfqAgjNLtRUThpt6Ui0kGxrF3qiSo-kq/view?usp=drivesdk"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./RESUMEN DE ENSAYOS DE CANTERA ROMA..pdf","1ZM23ov7LwssFfTa-n3V9gPFelN8QqNCl","RESUMEN DE ENSAYOS DE CANTERA ROMA..pdf","application/pdf","219884","2026-03-25T20:21:03.186Z","https://drive.google.com/file/d/1ZM23ov7LwssFfTa-n3V9gPFelN8QqNCl/view?usp=drivesdk"
"SCP","2. ESTUDIO DE FUENTES DE AGUA Y CANTERAS./RESUMEN DE ENSAYOS DE CANTERA CAROLINA UNO..pdf","1lF9eRXellc250FZZYOlE_BUuMaat_837","RESUMEN DE ENSAYOS DE CANTERA CAROLINA UNO..pdf","application/pdf","138242","2026-03-25T20:20:55.573Z","https://drive.google.com/file/d/1lF9eRXellc250FZZYOlE_BUuMaat_837/view?usp=drivesdk"
"SCP","1. ESTUDIO DE SUELOS.","1KBWz3T8zfOmmcnHWPugOLnijt7cff5HD","1. ESTUDIO DE SUELOS.","application/vnd.google-apps.folder",,"2026-03-25T20:16:39.258Z","https://drive.google.com/drive/folders/1KBWz3T8zfOmmcnHWPugOLnijt7cff5HD"
"SCP","1. ESTUDIO DE SUELOS./2. Anexos.","1KjCaaTy-kY8akZfkUZB91lR4NZS3G445","2. Anexos.","application/vnd.google-apps.folder",,"2026-03-25T20:17:32.121Z","https://drive.google.com/drive/folders/1KjCaaTy-kY8akZfkUZB91lR4NZS3G445"
"SCP","1. ESTUDIO DE SUELOS./2. Anexos./7. Plano de ubicación de calicatas.","1gWwpdpmGL2aeBzWSmDnxkQySAGae7TKb","7. Plano de ubicación de calicatas.","application/vnd.google-apps.folder",,"2026-03-25T20:20:26.124Z","https://drive.google.com/drive/folders/1gWwpdpmGL2aeBzWSmDnxkQySAGae7TKb"
"SCP","1. ESTUDIO DE SUELOS./2. Anexos./6. Certificado de Calibración de Equipos.","1FZMkegETsSRWe-8J7SkSml6L-1CgUaoV","6. Certificado de Calibración de Equipos.","application/vnd.google-apps.folder",,"2026-03-25T20:20:01.254Z","https://drive.google.com/drive/folders/1FZMkegETsSRWe-8J7SkSml6L-1CgUaoV"
"SCP","1. ESTUDIO DE SUELOS./2. Anexos./5. Resultados de Ensayos de la Subrasante.","1iT0ort9GEL3o3zwpkwfM4NSNR-DUuBJ7","5. Resultados de Ensayos de la Subrasante.","application/vnd.google-apps.folder",,"2026-03-25T20:19:10.037Z","https://drive.google.com/drive/folders/1iT0ort9GEL3o3zwpkwfM4NSNR-DUuBJ7"
"SCP","1. ESTUDIO DE SUELOS./2. Anexos./4. Registro de Exploración.","1uyRiEysVhgyX8TG8PfAojytIoSYk1ZtK","4. Registro de Exploración.","application/vnd.google-apps.folder",,"2026-03-25T20:18:46.845Z","https://drive.google.com/drive/folders/1uyRiEysVhgyX8TG8PfAojytIoSYk1ZtK"
"SCP","1. ESTUDIO DE SUELOS./2. Anexos./3. Panel Fotográfico de las Calicatas.","19Dy7-cEs6OM6lNcwpBpUoN8xcnMYU4bc","3. Panel Fotográfico de las Calicatas.","application/vnd.google-apps.folder",,"2026-03-25T20:18:20.742Z","https://drive.google.com/drive/folders/19Dy7-cEs6OM6lNcwpBpUoN8xcnMYU4bc"
"SCP","1. ESTUDIO DE SUELOS./2. Anexos./2. Panel Fotográfico de la Plataforma.","1yOGUrxac7JMH1OY15X59QRASQiTjCO7z","2. Panel Fotográfico de la Plataforma.","application/vnd.google-apps.folder",,"2026-03-25T20:18:00.448Z","https://drive.google.com/drive/folders/1yOGUrxac7JMH1OY15X59QRASQiTjCO7z"
"SCP","1. ESTUDIO DE SUELOS./2. Anexos./1. Perfil Estratigráfico.","1Zdu_gQ8APgU3TWYP6RaDvN3pvyi5zGuG","1. Perfil Estratigráfico.","application/vnd.google-apps.folder",,"2026-03-25T20:17:38.626Z","https://drive.google.com/drive/folders/1Zdu_gQ8APgU3TWYP6RaDvN3pvyi5zGuG"
"SCP","1. ESTUDIO DE SUELOS./1. Informe.","1cLGhU7RuVfKSKTkemDVEn7jxveHpTHaQ","1. Informe.","application/vnd.google-apps.folder",,"2026-03-25T20:17:07.666Z","https://drive.google.com/drive/folders/1cLGhU7RuVfKSKTkemDVEn7jxveHpTHaQ"
"SCP","1. ESTUDIO DE SUELOS./1. Informe./1. Informe de Estudio de Suelos febrero-2026..pdf","1IzoHQw9KwGJgq4brcgBLChLMVazaphL8","1. Informe de Estudio de Suelos febrero-2026..pdf","application/pdf","4453921","2026-03-25T20:17:21.641Z","https://drive.google.com/file/d/1IzoHQw9KwGJgq4brcgBLChLMVazaphL8/view?usp=drivesdk"
"SCP","1. ESTUDIO DE SUELOS./1. Informe./1. Informe de Estudio de Suelos febrero-2026..docx","1UfImXNCDMkAVBySV5-86WK6TF8CPVCt1","1. Informe de Estudio de Suelos febrero-2026..docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","45713991","2026-03-25T20:17:15.738Z","https://docs.google.com/document/d/1UfImXNCDMkAVBySV5-86WK6TF8CPVCt1/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
